epoch,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss
16,0.984199999,0.071199913,0.920666669,0.259967586,,0.9998,0.008335933,0.776666668,2.506527453,,0.997600002,0.015444417,0.592666664,4.917463547,,0.9998,0.006872604,0.432666666,7.474628082,,1,0.005323544,0.266666665,9.912820732,,0.998600001,0.010690655,0.115999999,11.76532186
17,0.9844,0.066558178,0.920000004,0.2650837,,1,0.005343952,0.77333333,2.557480514,,0.998400002,0.012191001,0.60133333,4.989356092,,1,0.004916514,0.430666665,7.611986332,,1,0.004136579,0.266,10.0563349,,0.998600001,0.009787893,0.113333333,11.96925659
18,0.9878,0.060201182,0.922666667,0.262301229,,0.9998,0.004662597,0.771333332,2.587982734,,0.9998,0.007560698,0.597999997,5.052160191,,1,0.004254153,0.430666665,7.669936107,,0.9996,0.004562118,0.268,10.12264102,,0.999000001,0.008289307,0.111333333,12.04612509
19,0.9896,0.054539859,0.925333337,0.265234173,,1,0.003897013,0.77133333,2.619947702,,0.999400001,0.006132818,0.597999998,5.103845621,,1,0.003418053,0.430666666,7.715612389,,1,0.003173161,0.266000002,10.20892185,,0.9998,0.006750907,0.114,12.12854233
20,0.9914,0.049862746,0.931333335,0.259306229,,1,0.00297882,0.771333334,2.639130458,,1,0.004659339,0.599333335,5.193879271,,1,0.002946765,0.432666664,7.756559861,,1,0.002307484,0.268,10.23019083,,1,0.004349047,0.114,12.29144179
21,0.9938,0.042111281,0.926666669,0.258495568,,1,0.002955971,0.774,2.65481524,,1,0.004412103,0.600666663,5.187641428,,1,0.002472247,0.433333332,7.84019492,,1,0.002080302,0.268666666,10.31256804,,1,0.00314649,0.115333333,12.36475582
22,0.994,0.03714896,0.932666666,0.246871289,,1,0.002371842,0.769333332,2.67483283,,1,0.004091871,0.599999999,5.259907248,,1,0.002209996,0.430666665,7.869669639,,1,0.002148351,0.265999997,10.39011696,,1,0.002760428,0.114666666,12.46619844
23,0.997,0.031990848,0.928666669,0.246085425,,1,0.002033517,0.777333334,2.70383187,,1,0.002998856,0.600666669,5.281637568,,1,0.00190691,0.429333332,7.926406138,,1,0.001564401,0.268,10.43557202,,1,0.002252448,0.115333333,12.54474436
24,0.9956,0.029364764,0.927333334,0.262057203,,1,0.001778211,0.773333332,2.710232913,,1,0.002842564,0.597999997,5.319038346,,1,0.001648399,0.431999999,7.946757769,,1,0.001326839,0.267999997,10.47758068,,1,0.001948656,0.114666666,12.63459765
25,0.9956,0.027257428,0.930666666,0.256249589,,1,0.00155772,0.771999998,2.723838107,,1,0.002486438,0.599333331,5.336500555,,1,0.001452322,0.432666666,7.953059282,,1,0.001178812,0.269333333,10.51997316,,0.997,0.009596878,0.114666667,12.52067169
26,0.9974,0.025002181,0.934666667,0.251348085,,1,0.001418176,0.77266667,2.750778609,,1,0.002046628,0.597999998,5.37188384,,1,0.001378291,0.431999999,7.992714377,,1,0.001100895,0.268666665,10.54266265,,0.994800004,0.016798688,0.113333333,12.43062318
27,0.998,0.023423779,0.933333333,0.255914512,,1,0.001250354,0.772666668,2.758328355,,1,0.001748835,0.598666665,5.389926326,,1,0.001166312,0.428666665,8.028255099,,1,0.00096249,0.268666666,10.5871987,,0.991000004,0.029547426,0.114,12.37523486
28,0.9984,0.020014412,0.930666668,0.252288771,,1,0.00113564,0.771333336,2.772415232,,1,0.001600421,0.598666665,5.412463679,,1,0.001067266,0.431333329,8.047119487,,1,0.000859177,0.268666666,10.63876959,,0.993800002,0.019788025,0.109333333,12.44322062
29,0.9986,0.019359585,0.933999999,0.251299615,,1,0.00103899,0.772000002,2.778138213,,1,0.001406817,0.599333332,5.434054218,,1,0.00097999,0.430666667,8.064565718,,1,0.000775881,0.267999998,10.66861827,,0.999000001,0.005747607,0.115333332,12.60540495
30,0.999,0.01632568,0.932000001,0.251260389,,1,0.000921863,0.773333334,2.781528473,,1,0.001300469,0.600666666,5.440487996,,1,0.000906787,0.431333333,8.091565826,,1,0.000731237,0.268666666,10.68554499,,1,0.001854752,0.112666666,12.71864646
31,0.999,0.015114015,0.927333337,0.259726463,,1,0.000868383,0.772666666,2.79042332,,1,0.001130601,0.600000001,5.46436044,,1,0.000817841,0.430666665,8.098218085,,1,0.000646465,0.268666666,10.71040517,,1,0.001101806,0.113333333,12.80753988
32,0.9994,0.014323364,0.934666667,0.252492586,,1,0.000788524,0.772000003,2.799996302,,1,0.001062546,0.599999999,5.481040731,,1,0.000749538,0.430666665,8.126931876,,1,0.000589994,0.267333332,10.73797313,,1,0.000912975,0.113999999,12.84435466
33,0.9992,0.012546341,0.934666667,0.258198587,,1,0.000700056,0.773333332,2.813208713,,1,0.000960447,0.598666665,5.502054951,,1,0.00066494,0.430666667,8.14691207,,1,0.000551828,0.267333334,10.76130662,,1,0.000804929,0.113333333,12.90028915
34,0.9996,0.010956805,0.936666665,0.258851767,,1,0.000638068,0.773333334,2.814389889,,1,0.000853047,0.598666666,5.511985505,,1,0.000620585,0.431333333,8.165523681,,1,0.000509412,0.269333333,10.78489965,,1,0.000732754,0.113999999,12.94499935
35,0.9998,0.01029272,0.936666668,0.259910226,,1,0.000596948,0.773333332,2.830675042,,1,0.000809866,0.597333331,5.532886671,,1,0.00056713,0.432666667,8.193862316,,1,0.000460162,0.268666666,10.79809091,,1,0.000661048,0.113999999,12.98530432
36,1,0.008978062,0.934000003,0.257610463,,1,0.000559974,0.773333336,2.832750221,,1,0.000769928,0.6,5.540553358,,1,0.000520145,0.432666665,8.202760354,,1,0.000430553,0.268666665,10.83701836,,1,0.000597114,0.114666666,13.01686141
37,0.9998,0.008631034,0.935333333,0.260388702,,1,0.000503039,0.772,2.845532256,,1,0.000669221,0.599333329,5.554607809,,1,0.000477227,0.431999997,8.20892445,,1,0.000402509,0.267333334,10.84975743,,1,0.000551216,0.113333333,13.05498546
38,1,0.00800384,0.935999999,0.265227903,,1,0.000487593,0.773333334,2.844089169,,1,0.000619334,0.597333332,5.567751793,,1,0.000440452,0.431333333,8.223925767,,1,0.000369331,0.267333334,10.86402671,,1,0.000509335,0.113333333,13.06233431
39,1,0.00737979,0.935999999,0.264850325,,1,0.00042615,0.773333336,2.852600659,,1,0.000570953,0.597333331,5.582400334,,1,0.00040741,0.431999999,8.235387043,,1,0.000335575,0.267999998,10.87291007,,1,0.000474575,0.113999999,13.10463524
40,1,0.006862044,0.934666667,0.266778063,,1,0.000404067,0.772,2.862200783,,1,0.000528337,0.597999999,5.599793083,,1,0.000381532,0.431333331,8.250169778,,1,0.000318762,0.268666667,10.8972387,,1,0.000439637,0.112666666,13.11839676
41,1,0.006373062,0.936,0.266614793,,1,0.000362656,0.77266667,2.867364134,,1,0.000487194,0.598666665,5.605762751,,1,0.000350573,0.430666663,8.258623513,,1,0.000318547,0.267333332,10.91858428,,1,0.000399948,0.113333333,13.15060517
42,1,0.005846485,0.936000001,0.265009358,,1,0.000334832,0.771333332,2.873704607,,1,0.000446892,0.599333331,5.616554773,,1,0.000333367,0.429333331,8.268589906,,1,0.000282253,0.268000001,10.92525343,,1,0.000372569,0.113333333,13.18725389
43,1,0.005385638,0.936666667,0.268061944,,1,0.000323105,0.773333336,2.874474503,,1,0.000414303,0.597999999,5.624570874,,1,0.000301291,0.431333331,8.285000975,,1,0.000258268,0.267333333,10.93720364,,1,0.000346585,0.112666666,13.184058
44,1,0.005087061,0.936,0.270096095,,1,0.000289263,0.772666666,2.876971987,,1,0.000389449,0.598000001,5.636226019,,1,0.000274362,0.429999999,8.298943758,,1,0.000235267,0.268,10.95390406,,1,0.000325963,0.112666666,13.22033663
45,1,0.004946623,0.935333334,0.27185841,,1,0.000272233,0.772666666,2.887324949,,1,0.000357453,0.597999999,5.647815915,,1,0.000256815,0.431333331,8.302545981,,1,0.000213396,0.268666666,10.97453274,,1,0.000303953,0.113333333,13.23786844
46,1,0.004617352,0.933333334,0.271209587,,1,0.000256179,0.773333336,2.891978374,,1,0.000330042,0.599333333,5.650160315,,1,0.000239896,0.432666665,8.313784553,,1,0.000202235,0.268,10.98577321,,1,0.000284891,0.113333333,13.25932487
47,1,0.004280373,0.937333333,0.272744862,,1,0.000234957,0.772000002,2.895291985,,1,0.000305589,0.597999997,5.662472048,,1,0.000221177,0.430666663,8.313163895,,1,0.000191195,0.268,11.00222505,,1,0.000264247,0.113333333,13.27440939
48,1,0.003999497,0.933333335,0.272525154,,1,0.000214596,0.772666668,2.899376116,,1,0.000296609,0.599333329,5.667167803,,1,0.000211834,0.430666665,8.33747438,,1,0.000173704,0.268,11.00875122,,1,0.000248158,0.112666666,13.29216445
49,1,0.003793095,0.936666666,0.27398507,,1,0.000204973,0.773333336,2.907551468,,1,0.00027572,0.599333331,5.676910476,,1,0.000191337,0.431999997,8.342610006,,1,0.000163647,0.266666665,11.01964654,,1,0.000231036,0.114666666,13.30995455
50,1,0.003637601,0.936666669,0.276253016,,1,0.000187907,0.775333334,2.906722628,,1,0.00025159,0.598666663,5.681898649,,1,0.000177724,0.431999999,8.352563211,,1,0.00015119,0.266666667,11.02596302,,1,0.000219818,0.112666666,13.3241291
51,1,0.003513262,0.937333333,0.276175836,,1,0.000179298,0.772666666,2.918293619,,1,0.000234281,0.599333329,5.690516998,,1,0.000167199,0.431333333,8.353193256,,1,0.000141049,0.268,11.04610323,,1,0.000206021,0.113333333,13.3361708
52,1,0.003262416,0.935333335,0.27699217,,1,0.000170438,0.772666668,2.917774253,,1,0.000228232,0.598,5.700983736,,1,0.00015834,0.430666665,8.361857892,,1,0.000134297,0.268666666,11.04790689,,1,0.000193637,0.114,13.36239134
53,1,0.003150101,0.933333335,0.277645317,,1,0.00015455,0.773333332,2.919913428,,1,0.000205309,0.599333333,5.708421987,,1,0.000146528,0.431999999,8.379654062,,1,0.000123514,0.267333334,11.05806481,,1,0.000187361,0.112666666,13.3668108
54,1,0.002993445,0.936666667,0.280145169,,1,0.000147165,0.772666666,2.928166306,,1,0.000188565,0.598666667,5.715690473,,1,0.000140558,0.431999997,8.39044421,,1,0.000116809,0.268,11.07149568,,1,0.000172398,0.111999999,13.3790102
55,1,0.00284404,0.937333333,0.281187237,,1,0.000135524,0.772666666,2.934085098,,1,0.000174144,0.598666665,5.715546167,,1,0.000129985,0.432666665,8.386220413,,1,0.000108601,0.268666666,11.08423621,,1,0.000165135,0.112666666,13.39534709
56,1,0.002670192,0.935333334,0.282279297,,1,0.000127063,0.772000001,2.932243168,,1,0.000165631,0.598666665,5.730616582,,1,0.000121935,0.430666667,8.404440642,,1,0.000102692,0.268,11.09117736,,1,0.000152772,0.112666666,13.40429112
57,1,0.002618279,0.936666666,0.280856531,,1,0.00012079,0.772000002,2.940849104,,1,0.000155181,0.598666665,5.726277172,,1,0.000112214,0.430666665,8.408900645,,1,9.92E-05,0.267999999,11.10086271,,1,0.000143678,0.112666666,13.41862857
58,1,0.002550381,0.937333333,0.281752511,,1,0.000111437,0.774,2.941904068,,1,0.000144672,0.598000002,5.73707127,,1,0.00010546,0.431333333,8.409382835,,1,9.06E-05,0.267333333,11.10504677,,1,0.000136707,0.111999999,13.43561109
59,1,0.002372542,0.938,0.283901116,,1,0.000108146,0.774000002,2.942187905,,1,0.000134932,0.599333329,5.740357684,,1,9.92E-05,0.430666663,8.415893987,,1,8.43E-05,0.267333334,11.11557774,,1,0.000127559,0.111999999,13.44732774
