epoch,acc,loss,val_acc,val_loss
0,0.7870000004395843,0.7739470222592354,0.11000000014901161,6.634032583236694
1,0.9157999980449677,0.2962870551645756,0.11133333295583725,7.492937739690145
2,0.931399997472763,0.23030130850151181,0.10933333337306976,7.789628346761067
3,0.9455999982357025,0.18521138314157726,0.11266666625936826,8.30511967341105
4,0.9557999980449676,0.14731076642870902,0.11133333345254262,8.622592767079672
5,0.9648000037670136,0.1249554842337966,0.11066666593154272,8.938249683380127
6,0.9716000002622605,0.10324742633849382,0.11466666559378307,9.235104036331176
7,0.9820000022649765,0.07807627080939711,0.1166666661699613,9.637652428944905
8,0.985400002002716,0.061980176120996475,0.11133333270748456,9.847234376271565
9,0.988800003528595,0.050622482523322104,0.1153333332389593,10.178903261820475
10,0.9912000054121017,0.04119321394246071,0.1146666657179594,10.577866268157958
11,0.9924000042676926,0.03323680715402588,0.11333333291113376,10.724607308705648
12,0.9956000036001206,0.025324533090461045,0.11399999943872292,11.104390303293863
13,0.9968000030517579,0.020268270790111273,0.11533333274225394,11.368538570404052
14,0.9984000009298325,0.01619113114895299,0.11533333274225394,11.442907842000325
15,0.9982000017166137,0.01363977432018146,0.11399999894201755,11.563074493408203
16,0.998600001335144,0.010690655272919685,0.11599999902149041,11.765321858723958
17,0.998600001335144,0.009787892689928412,0.11333333253860474,11.969256591796874
18,0.9990000009536744,0.008289306681253947,0.11133333258330821,12.046125094095865
19,0.9998000001907349,0.006750906636589207,0.11399999956289927,12.12854232788086
20,1.0,0.0043490465608192605,0.11399999956289927,12.291441790262859
21,1.0,0.003146490023355,0.11533333274225394,12.364755821228027
22,1.0,0.002760427873872686,0.11466666621466477,12.466198444366455
23,1.0,0.002252448266663123,0.11533333274225394,12.544744364420573
24,1.0,0.001948655866435729,0.11466666609048844,12.634597651163737
25,0.9970000004768371,0.00959687755035702,0.11466666658719381,12.520671685536703
26,0.99480000436306,0.01679868837760296,0.11333333291113376,12.43062318166097
27,0.9910000044107438,0.029547426030039788,0.11399999981125196,12.375234858194988
28,0.9938000023365021,0.019788025009911506,0.10933333250383535,12.443220615386963
29,0.9990000009536744,0.005747606983350124,0.11533333236972491,12.605404949188232
30,1.0,0.0018547523266170174,0.11266666601101558,12.718646462758382
31,1.0,0.0011018061722279527,0.11333333266278107,12.807539876302084
32,1.0,0.0009129747122642584,0.11399999943872292,12.844354661305745
33,1.0,0.0008049294038210064,0.11333333266278107,12.900289154052734
34,1.0,0.0007327539232210256,0.11399999943872292,12.944999345143636
35,1.0,0.0006610483841359382,0.11399999943872292,12.985304323832194
36,1.0,0.0005971143765782471,0.11466666646301746,13.016861406962077
37,1.0,0.0005512155392352724,0.11333333291113376,13.05498545964559
38,1.0,0.0005093345473869703,0.11333333266278107,13.062334314982097
39,1.0,0.0004745746868138667,0.11399999943872292,13.104635238647461
40,1.0,0.0004396372433984652,0.11266666613519191,13.118396759033203
41,1.0,0.0003999476558965398,0.11333333291113376,13.150605169932048
42,1.0,0.00037256907577102536,0.11333333291113376,13.18725388844808
43,1.0,0.00034658488628338093,0.11266666613519191,13.184057998657227
44,1.0,0.0003259633613561164,0.11266666613519191,13.220336627960204
45,1.0,0.0003039533847186249,0.11333333291113376,13.237868436177571
46,1.0,0.00028489091611845653,0.11333333291113376,13.259324868520102
47,1.0,0.00026424691950523995,0.11333333291113376,13.27440938949585
48,1.0,0.00024815813292661915,0.11266666613519191,13.292164452870686
49,1.0,0.00023103578452719376,0.11466666584213575,13.30995454788208
50,1.0,0.00021981848971336148,0.11266666613519191,13.324129104614258
51,1.0,0.00020602096326911124,0.11333333278695742,13.336170800526936
52,1.0,0.00019363679080925067,0.11399999956289927,13.362391344706218
53,1.0,0.00018736091351456707,0.11266666576266289,13.36681079864502
54,1.0,0.0001723980050519458,0.11199999923507373,13.379010200500488
55,1.0,0.00016513488855707692,0.11266666576266289,13.395347086588542
56,1.0,0.00015277177775715244,0.11266666576266289,13.404291121164958
57,1.0,0.0001436781660959241,0.11266666576266289,13.418628565470378
58,1.0,0.0001367070286141825,0.11199999923507373,13.435611089070639
59,1.0,0.00012755924601151491,0.11199999923507373,13.447327740987141
